Book Id,Title,Author,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Date Read,Date Added,Bookshelves,My Review,Read Count
45045129,Tweet Cute,Emma Lord,1250237327,9781250237323,0,3.97,Wednesday Books,Hardcover,368,2020,,01-11-20,to-read,,0
50998813,"100 Cookies: The Baking Book for Every Kitchen, with Classic Cookies, Novel Treats, Brownies, Bars, and More",Sarah Kieffer,1452180733,9781452180731,0,3.79,Chronicle Books,Hardcover,304,2020,,01-11-20,to-read,,0
52767659,The End of Everything (Astrophysically Speaking),Katie  Mack,198210354X,9781982103545,0,4.26,Scribner,Hardcover,226,2020,,01-11-20,to-read,,0
50892287,In a Holidaze,Christina Lauren,198212394X,9781982123949,0,3.74,Gallery Books,Paperback,307,2020,,01-11-20,to-read,,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,0765387565,9780765387561,0,4.23,Tor Books,Hardcover,444,2020,,01-11-20,to-read,,0
45992717,The Mirror & the Light (Thomas Cromwell #3),Hilary Mantel,0805096604,9780805096606,0,4.39,Henry Holt and Company,Hardcover,757,2020,,01-11-20,to-read,,0
52762903,The Book of Lost Names,Kristin Harmel,1982131896,9781982131890,0,4.39,Gallery Books,Hardcover,388,2020,,01-11-20,to-read,,0
619590,Bayesian Data Analysis,Andrew Gelman,158488388X,9781584883883,0,4.24,CRC Press,Hardcover,690,2003,,20-10-20,to-read,,0
51110517,One Day In Summer,Shari Low,,,0,4.32,Boldwood Books,Kindle Edition,324,2020,,15-10-20,to-read,,0
32758901,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,,,0,4.16,Tor.com,ebook,144,2017,,12-10-20,to-read,,0
39901937,"Vodka Soup for the Widowed Soul: Stories of Grief, Alcohol, Infidelity, Cursing, and Hope",Michelle Miller,1981880437,9781981880430,0,4.77,CreateSpace Independent Publishing Platform,Paperback,290,2018,,11-10-20,to-read,,0
32453160,"Boys, Booze, and Bathroom Floors: Forty-Six Tales about the Collision of Suicide Grief and Dating",Michelle Miller,1535510730,9781535510738,0,4.42,Create Space,Paperback,133,2016,,11-10-20,to-read,,0
